unit_id,treatment,checkout_completed,pre_purchase_score
shopper_0000350,1,0,0.12420956
shopper_0000351,1,0,0.23443052
shopper_0000352,0,1,0.47139105
shopper_0000353,1,0,0.30637249
shopper_0000354,0,0,0.05548329
shopper_0000355,0,0,0.12704833
shopper_0000356,1,0,0.20883040
shopper_0000357,1,0,0.59023216
shopper_0000358,1,0,0.62574131
shopper_0000359,0,0,0.81159214
shopper_0000360,0,0,0.22265248
shopper_0000361,0,1,0.54454154
shopper_0000362,1,0,0.41345628
shopper_0000363,1,0,0.57955019
shopper_0000364,1,0,0.49589068
shopper_0000365,0,0,0.38837852
shopper_0000366,0,0,0.10217802
shopper_0000367,1,0,0.30429155
shopper_0000368,0,0,0.38092834
shopper_0000369,1,0,0.48781843
shopper_0000370,1,0,0.18970627
shopper_0000371,0,0,0.73302293
shopper_0000372,1,0,0.64950185
shopper_0000373,1,0,0.65092111
shopper_0000374,1,0,0.72215399
shopper_0000375,0,0,0.38479705
shopper_0000376,0,0,0.64623165
shopper_0000377,1,0,0.54760013
shopper_0000378,1,0,0.40979271
shopper_0000379,0,0,0.85074257
shopper_0000380,0,0,0.46154729
shopper_0000381,0,0,0.71463440
shopper_0000382,1,0,0.68529110
shopper_0000383,1,0,0.38133421
shopper_0000384,1,0,0.11971536
shopper_0000385,0,0,0.80871573
shopper_0000386,1,0,0.87413279
shopper_0000387,0,0,0.51891592
shopper_0000388,0,0,0.77329727
shopper_0000389,1,0,0.21402653
shopper_0000390,1,0,0.38258916
shopper_0000391,0,0,0.69073596
shopper_0000392,1,0,0.05461446
shopper_0000393,1,0,0.42838825
shopper_0000394,0,0,0.17789711
shopper_0000395,1,0,0.51935355
shopper_0000396,0,0,0.60378893
shopper_0000397,1,0,0.86123519
shopper_0000398,0,0,0.34406625
shopper_0000399,0,0,0.92831170
shopper_0000400,1,1,0.04564345
shopper_0000401,0,0,0.37702173
shopper_0000402,0,0,0.52041079
shopper_0000403,0,0,0.37979253
shopper_0000404,0,0,0.72069667
shopper_0000405,1,0,0.85178475
shopper_0000406,1,0,0.50161731
shopper_0000407,1,0,0.69530850
shopper_0000408,1,0,0.63624787
shopper_0000409,0,0,0.61931445
shopper_0000410,0,0,0.39398119
shopper_0000411,0,0,0.83032796
shopper_0000412,0,0,0.57830847
shopper_0000413,0,0,0.28739971
shopper_0000414,0,0,0.43584206
shopper_0000415,0,0,0.19604832
shopper_0000416,0,0,0.56968929
shopper_0000417,1,1,0.82377382
shopper_0000418,1,0,0.43317788
shopper_0000419,0,0,0.46932793
shopper_0000420,1,0,0.65117332
shopper_0000421,0,0,0.42643424
shopper_0000422,0,0,0.69711343
shopper_0000423,0,0,0.42762069
shopper_0000424,0,0,0.82491006
shopper_0000425,1,0,0.74244376
shopper_0000426,0,0,0.33999931
shopper_0000427,1,0,0.49032949
shopper_0000428,1,0,0.77569725
shopper_0000429,0,0,0.71272420
shopper_0000430,0,0,0.11357848
shopper_0000431,0,0,0.49492951
shopper_0000432,1,0,0.38919941
shopper_0000433,0,0,0.52676662
shopper_0000434,0,0,0.31695150
shopper_0000435,1,0,0.33012136
shopper_0000436,1,0,0.65878993
shopper_0000437,1,1,0.25845762
shopper_0000438,1,0,0.48451709
shopper_0000439,0,0,0.31840763
shopper_0000440,1,0,0.10724177
shopper_0000441,1,0,0.43801183
shopper_0000442,1,1,0.54463810
shopper_0000443,0,0,0.64316231
shopper_0000444,0,0,0.32186482
shopper_0000445,0,0,0.39483527
shopper_0000446,1,0,0.40726244
shopper_0000447,1,0,0.47753584
shopper_0000448,1,0,0.56762491
shopper_0000449,0,0,0.67904331
shopper_0000450,0,0,0.86210452
shopper_0000451,0,0,0.68191964
shopper_0000452,0,0,0.34375969
shopper_0000453,1,0,0.31243015
shopper_0000454,0,0,0.32317444
shopper_0000455,0,1,0.94258743
shopper_0000456,1,0,0.93883663
shopper_0000457,0,0,0.88365575
shopper_0000458,0,0,0.23994294
shopper_0000459,0,0,0.91528842
shopper_0000460,1,0,0.18604181
shopper_0000461,0,0,0.23373916
shopper_0000462,1,0,0.07156513
shopper_0000463,0,0,0.20223768
shopper_0000464,1,0,0.21210731
shopper_0000465,0,0,0.58475806
shopper_0000466,0,0,0.54378239
shopper_0000467,0,0,0.26090794
shopper_0000468,1,0,0.22170595
shopper_0000469,1,0,0.14777988
shopper_0000470,0,1,0.67727682
shopper_0000471,0,0,0.47791550
shopper_0000472,1,1,0.18157651
shopper_0000473,0,0,0.38766302
shopper_0000474,0,0,0.18386544
shopper_0000475,1,0,0.12865296
shopper_0000476,0,0,0.43252250
shopper_0000477,0,0,0.00893407
shopper_0000478,1,1,0.32829691
shopper_0000479,0,1,0.24603736
shopper_0000480,1,0,0.49265169
shopper_0000481,1,1,0.62101009
shopper_0000482,1,0,0.79928712
shopper_0000483,1,1,0.47878655
shopper_0000484,1,0,0.71919644
shopper_0000485,0,0,0.28716827
shopper_0000486,0,0,0.60611238
shopper_0000487,1,0,0.45667415
shopper_0000488,1,0,0.89897140
shopper_0000489,1,0,0.66261736
shopper_0000490,0,1,0.78934354
shopper_0000491,0,0,0.69810782
shopper_0000492,1,0,0.68370577
shopper_0000493,0,0,0.82237306
shopper_0000494,0,0,0.74197981
shopper_0000495,1,0,0.65644835
shopper_0000496,1,0,0.63327706
shopper_0000497,1,0,0.24956049
shopper_0000498,1,0,0.10529105
shopper_0000499,1,0,0.64356972
shopper_0000500,0,0,0.48002265
shopper_0000501,0,0,0.05348319
shopper_0000502,1,1,0.36699968
shopper_0000503,0,1,0.60454484
shopper_0000504,0,0,0.66823123
shopper_0000505,1,0,0.98991027
shopper_0000506,1,0,0.15602588
shopper_0000507,0,0,0.69827997
shopper_0000508,1,0,0.75067995
shopper_0000509,0,0,0.50937235
shopper_0000510,0,0,0.77582464
shopper_0000511,1,0,0.79920487
shopper_0000512,0,0,0.37453267
shopper_0000513,1,0,0.69292442
shopper_0000514,0,0,0.31803826
shopper_0000515,0,0,0.78049628
shopper_0000516,0,0,0.55025205
shopper_0000517,0,0,0.57127004
shopper_0000518,0,0,0.21131952
shopper_0000519,0,0,0.75837767
shopper_0000520,0,0,0.35671475
shopper_0000521,0,1,0.41105982
shopper_0000522,0,0,0.68887194
shopper_0000523,1,0,0.24217663
shopper_0000524,1,0,0.52036386
shopper_0000525,1,0,0.57596609
shopper_0000526,1,0,0.43890744
shopper_0000527,0,0,0.43262986
shopper_0000528,1,0,0.87064021
shopper_0000529,1,0,0.80530319
shopper_0000530,0,0,0.46621822
shopper_0000531,1,1,0.35281716
shopper_0000532,1,1,0.91743141
shopper_0000533,0,0,0.95832363
shopper_0000534,1,0,0.33870006
shopper_0000535,1,0,0.84709650
shopper_0000536,1,1,0.90539333
shopper_0000537,0,0,0.81407078
shopper_0000538,1,0,0.74061515
shopper_0000539,0,0,0.75132731
shopper_0000540,1,0,0.28468749
shopper_0000541,0,0,0.88959505
shopper_0000542,1,0,0.78289779
shopper_0000543,1,0,0.46315800
shopper_0000544,0,0,0.63219373
shopper_0000545,0,0,0.29794955
shopper_0000546,1,0,0.53182509
shopper_0000547,1,0,0.88314232
shopper_0000548,1,1,0.28569690
shopper_0000549,1,1,0.84378411
shopper_0000550,0,0,0.55232443
shopper_0000551,1,0,0.27283905
shopper_0000552,1,0,0.70278439
shopper_0000553,1,0,0.20619356
shopper_0000554,1,0,0.10181163
shopper_0000555,0,0,0.10957067
shopper_0000556,0,1,0.21235721
shopper_0000557,0,0,0.33572936
shopper_0000558,0,0,0.50092579
shopper_0000559,0,0,0.61302693
shopper_0000560,1,0,0.47734670
shopper_0000561,1,0,0.53110385
shopper_0000562,1,0,0.23201250
shopper_0000563,0,0,0.90471104
shopper_0000564,1,0,0.70711699
shopper_0000565,0,0,0.45602723
shopper_0000566,0,0,0.54279188
shopper_0000567,1,0,0.45739852
shopper_0000568,0,0,0.85992200
shopper_0000569,0,0,0.43012219
shopper_0000570,1,1,0.09548643
shopper_0000571,0,0,0.84765983
shopper_0000572,0,0,0.18336986
shopper_0000573,0,0,0.81678214
shopper_0000574,1,0,0.48725533
shopper_0000575,1,0,0.75708818
shopper_0000576,0,0,0.35519499
shopper_0000577,1,0,0.32199323
shopper_0000578,0,0,0.41088571
shopper_0000579,0,0,0.36400717
shopper_0000580,1,0,0.65922848
shopper_0000581,1,0,0.87846611
shopper_0000582,0,0,0.72288300
shopper_0000583,1,0,0.84443155
shopper_0000584,1,0,0.26646364
shopper_0000585,0,0,0.61354821
shopper_0000586,0,0,0.10966259
shopper_0000587,1,0,0.39855627
shopper_0000588,1,0,0.69061679
shopper_0000589,0,0,0.22172184
shopper_0000590,0,0,0.69993589
shopper_0000591,0,0,0.61074438
shopper_0000592,1,0,0.59496156
shopper_0000593,1,0,0.53652101
shopper_0000594,1,0,0.25544756
shopper_0000595,0,1,0.55277556
shopper_0000596,1,0,0.38740577
shopper_0000597,0,0,0.27458760
shopper_0000598,1,0,0.07473807
shopper_0000599,0,1,0.42322261
shopper_0000600,1,0,0.14866513
shopper_0000601,1,0,0.96029281
shopper_0000602,0,0,0.17297267
shopper_0000603,1,1,0.46512792
shopper_0000604,0,0,0.74692352
shopper_0000605,1,1,0.49289820
shopper_0000606,1,0,0.37329295
shopper_0000607,1,1,0.61826304
shopper_0000608,0,0,0.38862729
shopper_0000609,1,0,0.41039972
shopper_0000610,0,0,0.59327480
shopper_0000611,1,0,0.47469261
shopper_0000612,0,0,0.43477319
shopper_0000613,0,0,0.83729144
shopper_0000614,1,1,0.90455880
shopper_0000615,1,0,0.26401820
shopper_0000616,1,0,0.64051305
shopper_0000617,0,0,0.39790833
shopper_0000618,0,0,0.85889646
shopper_0000619,0,0,0.79394852
shopper_0000620,0,0,0.52496737
shopper_0000621,0,0,0.80607780
shopper_0000622,1,0,0.69573807
shopper_0000623,1,0,0.61843704
shopper_0000624,1,0,0.65535795
shopper_0000625,0,0,0.58614154
shopper_0000626,1,1,0.61896874
shopper_0000627,0,0,0.73210164
shopper_0000628,0,0,0.12229958
shopper_0000629,0,0,0.44125136
shopper_0000630,0,0,0.98525545
shopper_0000631,1,0,0.63652723
shopper_0000632,0,1,0.22904369
shopper_0000633,0,0,0.54701317
shopper_0000634,0,0,0.48538410
shopper_0000635,0,0,0.40876252
shopper_0000636,0,1,0.52106336
shopper_0000637,1,1,0.21804489
shopper_0000638,1,0,0.45065106
shopper_0000639,1,0,0.55874622
shopper_0000640,1,0,0.24599856
shopper_0000641,0,0,0.45012138
shopper_0000642,1,0,0.57176850
shopper_0000643,1,0,0.71386699
shopper_0000644,0,0,0.22306251
shopper_0000645,1,0,0.52349657
shopper_0000646,1,0,0.72596556
shopper_0000647,0,0,0.76229671
shopper_0000648,0,0,0.53143321
shopper_0000649,1,0,0.54078739
shopper_0000650,0,0,0.78654144
shopper_0000651,0,0,0.51439152
shopper_0000652,0,0,0.28045773
shopper_0000653,0,1,0.75402977
shopper_0000654,1,0,0.41867001
shopper_0000655,1,0,0.21188976
shopper_0000656,1,0,0.39091531
shopper_0000657,1,0,0.61789060
shopper_0000658,1,0,0.17337504
shopper_0000659,1,0,0.32631499
shopper_0000660,1,0,0.20739168
shopper_0000661,0,0,0.30838555
shopper_0000662,1,0,0.53723012
shopper_0000663,1,0,0.66939026
shopper_0000664,0,0,0.17494021
shopper_0000665,0,0,0.44203314
shopper_0000666,1,0,0.80052713
shopper_0000667,1,0,0.26170713
shopper_0000668,0,0,0.17862550
shopper_0000669,0,1,0.13447992
shopper_0000670,1,0,0.28430309
shopper_0000671,1,0,0.26496885
shopper_0000672,0,0,0.39670725
shopper_0000673,1,0,0.58577753
shopper_0000674,0,1,0.28699000
shopper_0000675,1,1,0.49489811
shopper_0000676,0,0,0.19538706
shopper_0000677,1,0,0.26988539
shopper_0000678,1,0,0.34255609
shopper_0000679,0,0,0.79320146
shopper_0000680,1,0,0.67850697
shopper_0000681,1,0,0.81581017
shopper_0000682,0,0,0.53360591
shopper_0000683,1,0,0.69172078
shopper_0000684,0,0,0.34866140
shopper_0000685,1,1,0.33028539
shopper_0000686,1,0,0.45078599
shopper_0000687,0,0,0.54412248
shopper_0000688,0,0,0.52899386
shopper_0000689,0,0,0.80629657
shopper_0000690,1,0,0.41706638
shopper_0000691,0,0,0.25412611
shopper_0000692,1,0,0.47311044
shopper_0000693,1,1,0.23115549
shopper_0000694,1,0,0.75739897
shopper_0000695,1,0,0.09724053
shopper_0000696,0,0,0.76660560
shopper_0000697,0,0,0.39781614
shopper_0000698,1,0,0.38216036
shopper_0000699,0,0,0.67756605
shopper_0000700,0,0,0.26492232
shopper_0000701,1,0,0.47784737
shopper_0000702,1,0,0.87705930
shopper_0000703,1,0,0.76974160
shopper_0000704,1,0,0.17468609
shopper_0000705,1,0,0.57230485
shopper_0000706,0,0,0.35470812
shopper_0000707,1,0,0.96937572
shopper_0000708,0,0,0.43062870
shopper_0000709,0,0,0.67988571
shopper_0000710,0,0,0.55537076
shopper_0000711,0,0,0.36952497
shopper_0000712,0,0,0.23670337
shopper_0000713,0,0,0.23364692
shopper_0000714,0,0,0.15731728
shopper_0000715,1,0,0.69457048
shopper_0000716,1,0,0.33597950
shopper_0000717,0,0,0.73680105
shopper_0000718,0,0,0.19036763
shopper_0000719,0,0,0.76420659
shopper_0000720,0,0,0.70876633
shopper_0000721,1,0,0.52391139
shopper_0000722,0,0,0.53434029
shopper_0000723,1,1,0.87876077
shopper_0000724,1,0,0.66233840
shopper_0000725,0,0,0.36893216
shopper_0000726,0,0,0.63937837
shopper_0000727,0,0,0.68741859
shopper_0000728,1,1,0.25306915
shopper_0000729,0,0,0.51053439
shopper_0000730,0,0,0.16157774
shopper_0000731,1,1,0.51491364
shopper_0000732,0,0,0.53279783
shopper_0000733,1,0,0.71178311
shopper_0000734,1,0,0.06021705
shopper_0000735,1,1,0.40563322
shopper_0000736,1,0,0.11294703
shopper_0000737,0,0,0.59235018
shopper_0000738,1,0,0.64117142
shopper_0000739,1,0,0.60949879
shopper_0000740,0,0,0.62754952
shopper_0000741,0,0,0.45042407
shopper_0000742,1,0,0.37513310
shopper_0000743,1,0,0.73875255
shopper_0000744,1,0,0.39351461
shopper_0000745,1,0,0.11589682
shopper_0000746,0,0,0.85274794
shopper_0000747,0,0,0.24733166
shopper_0000748,0,0,0.78903843
shopper_0000749,1,0,0.63403068
shopper_0000750,0,0,0.14622259
shopper_0000751,0,0,0.63825662
shopper_0000752,0,0,0.44804163
shopper_0000753,1,0,0.40068249
shopper_0000754,0,0,0.28021776
shopper_0000755,1,0,0.61380013
shopper_0000756,0,0,0.60008370
shopper_0000757,1,0,0.66748955
shopper_0000758,1,0,0.78147261
shopper_0000759,0,1,0.39229361
shopper_0000760,0,0,0.27287256
shopper_0000761,1,0,0.79969271
shopper_0000762,0,0,0.19268434
shopper_0000763,1,0,0.88914636
shopper_0000764,0,0,0.17648566
shopper_0000765,0,0,0.31497041
shopper_0000766,1,0,0.89232499
shopper_0000767,1,0,0.59741180
shopper_0000768,0,0,0.68668476
shopper_0000769,0,0,0.61322163
shopper_0000770,0,0,0.75348637
shopper_0000771,1,0,0.11365776
shopper_0000772,1,0,0.85182931
shopper_0000773,1,1,0.23929249
shopper_0000774,0,0,0.19961588
shopper_0000775,1,0,0.39319580
